Zone,State,City,Place Name,Type,Best Visit Time,Entry Fee,Trip Cost,Stay Duration,Activity Level,Ideal For,Nearest Hub
East,JH,Deoghar,Baba Baidyanath,Spiritual,Year-round,0,4000-8000,2 Days,Medium,Family,Deoghar Airport
East,JH,Deoghar,Baidyanath Dham,Spiritual,Year-round,0,500-2000,1 Day,Medium,Pilgrims,Deoghar Airport
East,JH,Deoghar,Naulakha Mandir,Spiritual,Year-round,0,100-500,1 Hour,Low,All,Deoghar Airport
East,JH,Dhanbad,Maithon Dam,Nature,Oct-Mar,0,2000-5000,1 Day,Low,Family,Dhanbad Station
East,JH,Dumka,Basukinath Temple,Spiritual,Year-round,0,500-1500,1 Day,Medium,Pilgrims,Deoghar Airport
East,JH,Hazaribagh,Hazaribagh Wildlife Sanctuary,Wildlife,Oct-Mar,50,1000-3000,1 Day,Medium,Wildlife Lovers,Ranchi Airport
East,JH,Jamshedpur,Jubilee Park,Nature,Oct-Mar,0,1000-3000,1 Day,Low,Family,Ranchi Airport
East,JH,Jamshedpur,Dalma Wildlife Sanctuary,Wildlife,Oct-Mar,100,1000-3000,1 Day,Medium,Nature Lovers,Ranchi Airport
East,JH,Netarhat,Magnolia Sunset Point,Nature/View,Oct-Mar,0,500-2000,1 Day,Low,Couples,Ranchi Airport
East,JH,Ranchi,Hundru Falls,Nature,Oct-Mar,0,2000-5000,1 Day,High,Friends,Ranchi Airport
East,JH,Ranchi,Pahari Mandir,Spiritual,Year-round,0,500-1500,1 Day,High,Family,Ranchi Airport
East,JH,Ranchi,Dassam Falls,Nature,Oct-Mar,0,500-1500,1 Day,Medium,Nature Lovers,Ranchi Airport
East,JH,Ranchi,Tagore Hill,Nature/History,Year-round,0,100-500,2 Hours,Medium,All,Ranchi Airport
East,OD,Bhubaneswar,Lingaraj Temple,Spiritual,Year-round,0,1000-3000,1 Day,Low,Family,Bhubaneswar Airport
East,OD,Bhubaneswar,Nandankanan Zoo,Wildlife,Oct-Mar,50,1000-3000,1 Day,High,Family,Bhubaneswar Airport
East,OD,Bhubaneswar,Udayagiri Caves,History,Oct-Mar,25,500-1500,1 Day,Medium,Solo,Bhubaneswar Airport
East,OD,Bhubaneswar,Khandagiri Caves,History,Oct-Mar,25,500-1500,1 Day,Medium,Solo,Bhubaneswar Airport
East,OD,Bhubaneswar,Dhauli Hill,Spiritual,Year-round,0,500-1500,1 Day,Low,Family,Bhubaneswar Airport
East,OD,Bhubaneswar,Ekamra Kanan,Nature,Year-round,20,500-1500,1 Day,Low,Family,Bhubaneswar Airport
East,OD,Bhubaneswar,Udayagiri and Khandagiri Caves,History,Oct-Mar,25,200-1000,1 Day,Medium,History Buffs,Bhubaneswar Airport
East,OD,Bhubaneswar,Nandankanan Zoological Park,Wildlife,Oct-Mar,50,500-1500,1 Day,Medium,Families,Bhubaneswar Airport
East,OD,Bhubaneswar,Rajarani Temple,History/Spiritual,Oct-Mar,25,100-500,1 Hour,Low,History Buffs,Bhubaneswar Airport
East,OD,Bhubaneswar,Mukteshwar Temple,History/Spiritual,Oct-Mar,0,100-500,1 Hour,Low,History Buffs,Bhubaneswar Airport
East,OD,Bhubaneswar,Dhauli Shanti Stupa,History/Spiritual,Oct-Mar,0,200-1000,1 Day,Low,All,Bhubaneswar Airport
East,OD,Cuttack,Barabati Fort,History,Oct-Mar,0,1000-3000,1 Day,Low,All,Cuttack Station
East,OD,Cuttack,Netaji Birthplace Museum,History,Year-round,10,500-1500,1 Day,Low,All,Cuttack Station
East,OD,Cuttack,Netaji Birth Place Museum,History,Year-round,20,100-500,1 Hour,Low,History Lovers,Bhubaneswar Airport
East,OD,Gopalpur,Gopalpur Beach,Beach,Oct-Mar,0,4000-8000,2 Days,Low,Couples,Berhampur Station
East,OD,Konark,Konark Sun Temple,History,Oct-Mar,40,2000-5000,1 Day,Medium,All,Bhubaneswar Airport
East,OD,Konark,Sun Temple Konark,History,Oct-Mar,40,500-1500,1 Day,Low,History Lovers,Bhubaneswar Airport
East,OD,Koraput,Duduma Waterfalls,Nature,Oct-Mar,0,5000-9000,1 Day,High,Friends,Visakhapatnam Airport
East,OD,Puri,Jagannath Temple,Spiritual,Year-round,0,3000-7000,1 Day,Medium,Family,Puri Station
East,OD,Puri,Puri Beach,Beach,Oct-Mar,0,2000-5000,2 Days,Low,All,Puri Station
East,OD,Puri,Chilika Lake,Wildlife/Nature,Nov-Feb,5000-10000,1 Day,Medium,Family,Bhubaneswar Airport,Bhubaneswar Airport
East,OD,Puri,Chilika Wildlife Sanctuary,Wildlife,Nov-Feb,0,4000-8000,1 Day,Medium,Family,Puri Station
East,OD,Puri,Raghurajpur Village,Culture,Year-round,0,1000-3000,1 Day,Low,Solo,Puri Station
East,OD,Puri,Jagannath Temple Puri,Spiritual,Year-round,0,500-2000,1 Day,Medium,Pilgrims,Bhubaneswar Airport
East,OD,Puri,Raghurajpur Artist Village,Culture/Art,Year-round,0,500-2000,1 Day,Low,Art Lovers,Bhubaneswar Airport
East,OD,Sambalpur,Hirakud Dam,Engineering,Sep-Mar,0,2000-5000,1 Day,Low,Family,Jharsuguda Airport
East,WB,Alipurduar,Jaldapara National Park,Wildlife,Oct-May,500,3000-7000,1 Day,Medium,Wildlife Lovers,Bagdogra Airport
East,WB,Bolpur,Shantiniketan,Culture,Oct-Mar,0,2000-5000,2 Days,Low,Culture Lovers,Kolkata Airport
East,WB,Darjeeling,Tiger Hill,Nature/View,Oct-May,0,2000-5000,1 Day,Medium,All,Bagdogra Airport
East,WB,Darjeeling,Batasia Loop,History/Nature,Year-round,20,500-1000,1 Day,Low,Family,Bagdogra Airport
East,WB,Darjeeling,Darjeeling Zoo,Wildlife,Oct-Mar,60,1000-3000,1 Day,Medium,Family,Bagdogra Airport
East,WB,Darjeeling,Peace Pagoda,Spiritual,Year-round,0,500-1500,1 Day,Low,All,Bagdogra Airport
East,WB,Darjeeling,Himalayan Mountaineering Institute,Education,Oct-Mar,40,500-1500,1 Day,Low,Solo,Bagdogra Airport
East,WB,Darjeeling,Mirik Lake,Nature,Mar-Jun,0,1000-3000,1 Day,Low,Couples/Family,Bagdogra Airport
East,WB,Darjeeling,Eagle's Crag,View Point,Oct-Mar,0,500-1500,1 Day,Low,Nature Lovers,Bagdogra Airport
East,WB,Digha,New Digha Beach,Beach,Oct-Mar,0,3000-6000,2 Days,Low,Family,Digha Station
East,WB,Howrah,Belur Math,Spiritual,Year-round,0,100-500,2-3 Hours,Low,All,Kolkata Airport
East,WB,Kalimpong,Deolo Hill,Nature,Oct-May,0,2000-5000,1 Day,Low,All,Bagdogra Airport
East,WB,Kalimpong,Durpin Dara Monastery,Spiritual,Mar-Jun,0,100-500,1 Hour,Low,All,Bagdogra Airport
East,WB,Kolkata,Victoria Memorial,History,Oct-Mar,30,1000-3000,1 Day,Medium,Family,Kolkata Airport
East,WB,Kolkata,Howrah Bridge,Engineering,Evening,0,500-1500,1 Day,Low,All,Howrah Station
East,WB,Kolkata,Dakshineswar Kali,Spiritual,Year-round,0,1000-3000,1 Day,Medium,Family,Kolkata Airport
East,WB,Kolkata,Science City,Education,Year-round,60,1000-3000,1 Day,Medium,Kids,Kolkata Airport
East,WB,Kolkata,Eden Gardens,Sports,Year-round,0,500-2000,1 Day,Low,Friends,Kolkata Airport
East,WB,Kolkata,Birla Planetarium,Education,Year-round,100,500-1500,1 Day,Low,Kids,Kolkata Airport
East,WB,Kolkata,Park Street,Culture/Food,Evening,0,2000-5000,1 Day,Low,Friends,Kolkata Airport
East,WB,Kolkata,Princep Ghat,History/View,Evening,0,500-1500,1 Day,Low,Couples,Kolkata Airport
East,WB,Kolkata,Dakshineswar Kali Temple,Spiritual,Year-round,0,200-500,2-3 Hours,Medium,Pilgrims,Kolkata Airport
East,WB,Kolkata,Victoria Memorial Hall,History,Year-round,30,200-1000,2 Hours,Low,All,Kolkata Airport
East,WB,Kolkata,Indian Museum,History,Year-round,50,200-1000,3 Hours,Low,History Lovers,Kolkata Airport
East,WB,Kolkata,Science City Kolkata,Science/Education,Year-round,60,500-1500,1 Day,Medium,Students/Kids,Kolkata Airport
East,WB,Kolkata,Eco Park Kolkata,Nature/Entertainment,Year-round,30,200-1000,1 Day,Low,Families,Kolkata Airport
East,WB,Murshidabad,Hazarduari Palace,History,Oct-Mar,20,2000-5000,1 Day,Medium,Family,Kolkata Airport
East,WB,Shantiniketan,Visva Bharati,Culture,Oct-Mar,0,3000-6000,2 Days,Low,Solo,Kolkata Airport
East,WB,Siliguri,ISKON Temple,Spiritual,Year-round,0,500-1500,1 Day,Low,Family,Bagdogra Airport
East,WB,Sundarbans,Sundarbans National Park,Wildlife,Oct-Mar,200,5000-15000,2-3 Days,High,Adventure Lovers,Kolkata Airport
Islands,AN,Baratang,Limestone Caves,Nature,Oct-May,0,4000-7000,1 Day,High,Solo,Port Blair Airport
Islands,AN,Baratang,Baratang Island,Nature/Caves,Oct-May,0,2000-5000,1 Day,High,Adventure Lovers,Port Blair Airport
Islands,AN,Diglipur,Ross and Smith Islands,Island,Oct-May,0,3000-7000,1 Day,Medium,Nature Lovers,Port Blair Airport
Islands,AN,Havelock,Radhanagar Beach,Beach,Oct-May,0,5000-10000,1 Day,Low,Couples,Port Blair Airport
Islands,AN,Havelock,Elephant Beach,Adventure,Oct-May,0,3000-6000,1 Day,High,Friends,Port Blair Airport
Islands,AN,Havelock,Neil Island,Beach/Island,Oct-May,0,5000-15000,2 Days,Medium,Couples/Friends,Port Blair Airport
Islands,AN,Neil Island,Bharatpur Beach,Beach,Oct-May,0,2000-5000,1 Day,Medium,Family,Port Blair Airport
Islands,AN,Port Blair,Cellular Jail,History,Year-round,30,1000-3000,1 Day,Low,Family,Port Blair Airport
Islands,AN,Port Blair,Ross Island,History,Oct-May,50,1000-2000,1 Day,Medium,All,Port Blair Airport
Islands,AN,Port Blair,Jolly Buoy Island,Island,Nov-Apr,750,2000-5000,1 Day,Medium,Nature Lovers,Port Blair Airport
Islands,AN,Port Blair,Mount Harriet,Nature/View,Oct-May,25,500-1500,1 Day,Medium,Nature Lovers,Port Blair Airport
Islands,AN,Port Blair,Chidiya Tapu,Nature/View,Oct-May,0,500-1500,1 Day,Low,All,Port Blair Airport
Islands,AN,Port Blair,Samudrika Marine Museum,History/Nature,Year-round,50,100-500,2 Hours,Low,Everyone,Port Blair Airport
Islands,AN,Wandoor,Mahatma Gandhi Marine National Park,Wildlife/Nature,Nov-May,50,1000-3000,1 Day,Medium,Nature Lovers,Port Blair Airport
Islands,LD,Agatti,Agatti Island,Beach,Oct-Mar,0,15000-25000,2 Days,Medium,Couples,Agatti Airport
Islands,LD,Bangaram,Bangaram Atoll,Beach,Oct-Mar,0,20000-35000,3 Days,Low,Solo,Agatti Airport
Islands,LD,Lakshadweep,Bangaram Island,Island,Oct-May,0,10000-20000,2-3 Days,Low,Couples,Agatti Airport
Islands,LD,Lakshadweep,Kalpeni Island,Island,Oct-May,0,5000-15000,2 Days,Medium,Water Sports,Agatti Airport
Islands,LD,Lakshadweep,Minicoy Island,Island,Oct-May,0,10000-20000,3 Days,Medium,Nature Lovers,Agatti Airport
Islands,LD,Lakshadweep,Kavaratti Lagoon,Island,Oct-May,0,8000-18000,2 Days,Medium,All,Agatti Airport
Islands,LD,Lakshadweep,Kadmat Island,Island,Oct-May,0,10000-20000,3 Days,Medium,Couples,Agatti Airport
Islands,LD,Lakshadweep,Kavaratti Marine Aquarium,Nature,Oct-May,20,100-300,1 Hour,Low,Kids/Families,Agatti Airport
NE,AR,Bomdila,Bomdila View Point,Nature,Oct-May,0,500-1500,1 Day,Low,All,Tezpur Airport
NE,AR,Dirang,Sangti Valley,Nature,Oct-Apr,0,4000-8000,2 Days,Low,Solo,Tezpur Airport
NE,AR,Itanagar,Ita Fort,History,Year-round,0,500-1500,1 Day,Low,All,Lilabari Airport
NE,AR,Itanagar,Ganga Lake,Nature,Oct-Apr,20,100-500,1 Day,Low,Nature Lovers,Lilabari Airport
NE,AR,Tawang,Tawang Monastery,Spiritual,Oct-Apr,0,8000-15000,2 Days,Low,Family,Tezpur Airport
NE,AR,Tawang,Sela Pass,Snow,Year-round,0,5000-10000,1 Day,Medium,Solo,Tezpur Airport
NE,AR,Ziro,Ziro Valley,Culture/Nature,Oct-Mar,0,6000-12000,3 Days,Low,Solo,Lilabari Airport
NE,AS,Digboi,Oil Museum,History,Year-round,0,1000-3000,1 Day,Low,All,Dibrugarh Airport
NE,AS,Guwahati,Kamakhya Temple,Spiritual,Year-round,0,3000-6000,1 Day,Medium,"Family, Senior Citizens",Guwahati Airport
NE,AS,Guwahati,Umananda Island,Spiritual,Year-round,0,1000-3000,1 Day,Medium,All,Guwahati Airport
NE,AS,Guwahati,Assam State Museum,History,Year-round,10,200-1000,1 Day,Low,All,Guwahati Airport
NE,AS,Guwahati,Pobitora Wildlife,Wildlife,Nov-Apr,500,5000-10000,1 Day,Medium,Family,Guwahati Airport
NE,AS,Guwahati,Balaji Temple,Spiritual,Year-round,0,500-1500,1 Day,Low,Family,Guwahati Airport
NE,AS,Guwahati,Guwahati Planetarium,Science,Year-round,30,100-500,1 Hour,Low,Students/Kids,Guwahati Airport
NE,AS,Haflong,Haflong Lake,Nature,Oct-Mar,0,3000-6000,2 Days,Low,All,Silchar Airport
NE,AS,Jorhat,Majuli,Culture/Nature,Oct-Mar,0,2000-5000,2 Days,Medium,Culture Seekers,Jorhat Airport
NE,AS,Kaziranga,Kaziranga National Park,Wildlife,Nov-Apr,100,3000-8000,1 Day,Medium,Wildlife Lovers,Jorhat Airport
NE,AS,Majuli,River Island,Culture,Oct-Mar,0,4000-8000,2 Days,Low,Solo,Jorhat Airport
NE,AS,Sivasagar,Rang Ghar,History,Oct-Mar,25,1000-3000,1 Day,Low,All,Jorhat Airport
NE,AS,Tezpur,Agnigarh,History,Year-round,20,500-1500,1 Day,Medium,All,Tezpur Airport
NE,ML,Cherrapunji,Living Root Bridge,Nature/Trek,Year-round,50,5000-10000,2 Days,High,"Solo, Friends",Shillong Airport
NE,ML,Cherrapunji,Nohkalikai Falls,Waterfall,Jun-Sep,20,1000-3000,1 Day,Medium,All,Shillong Airport
NE,ML,Cherrapunji,Mawsmai Cave,Nature,Year-round,20,500-1500,1 Day,High,Friends,Shillong Airport
NE,ML,Cherrapunji,Seven Sisters Falls,Waterfall,Jun-Sep,0,500-1500,1 Day,Low,All,Shillong Airport
NE,ML,Cherrapunji,Double Decker Root Bridge,Nature/Trek,Oct-May,0,1000-3000,1 Day,High,Adventure Lovers,Shillong Airport
NE,ML,Cherrapunji,Arwah Cave,Nature/Caves,Oct-May,20,200-500,2 Hours,Medium,All,Shillong Airport
NE,ML,Dawki,Umngot River,Nature,Nov-May,0,4000-8000,1 Day,Medium,"Friends, Couples",Shillong Airport
NE,ML,Dawki,Dawki Lake,Nature,Nov-May,0,1000-3000,1 Day,Medium,Friends/Couples,Shillong Airport
NE,ML,Jowai,Krang Suri Falls,Waterfall,Sep-May,20,3000-6000,1 Day,Medium,Friends,Shillong Airport
NE,ML,Mawlynnong,Cleanest Village,Culture,Year-round,0,3000-6000,1 Day,Low,Family,Shillong Airport
NE,ML,Shillong,Elephant Falls,Waterfall,Jun-Sep,20,1000-3000,1 Day,Low,Family,Shillong Airport
NE,ML,Shillong,Shillong Peak,Nature/View,Oct-May,10,500-1500,1 Day,Low,All,Shillong Airport
NE,ML,Shillong,Laitlum Canyons,Nature,Year-round,0,1000-3000,1 Day,Medium,Solo,Shillong Airport
NE,ML,Shillong,Ward’s Lake,Nature,Year-round,10,200-1000,1 Day,Low,All,Shillong Airport
NE,ML,Shillong,Mawlynnong Village,Culture/Nature,Year-round,50,1000-3000,1 Day,Low,Nature Lovers,Shillong Airport
NE,ML,Shillong,Umiam Lake,Nature/Lake,Oct-May,0,500-2000,1 Day,Low,Families,Shillong Airport
NE,ML,Shillong,Don Bosco Museum,Culture,Year-round,100,200-1000,3 Hours,Low,Culture Lovers,Shillong Airport
NE,ML,Shillong,Ward's Lake,Nature,Year-round,10,100-500,2 Hours,Low,Families,Shillong Airport
NE,ML,Shillong,Police Bazar,Culture/Shopping,Year-round,0,500-3000,Evening,Medium,Shoppers,Shillong Airport
NE,MN,Imphal,Loktak Lake,Nature,Oct-Mar,0,4000-9000,1 Day,Medium,Solo,Imphal Airport
NE,MN,Imphal,Kangla Fort,History,Year-round,20,1000-3000,1 Day,Low,All,Imphal Airport
NE,MN,Imphal,Imphal War Cemetery,History,Oct-Mar,0,100-300,1 Hour,Low,History Lovers,Imphal Airport
NE,MN,Moirang,Keibul Lamjao Park,Wildlife,Oct-Mar,50,2000-5000,1 Day,Medium,All,Imphal Airport
NE,MN,Moirang,INA Memorial,History/Patriotism,Year-round,20,100-500,2 Hours,Low,All,Imphal Airport
NE,MZ,Aizawl,Solomon Temple,Spiritual,Year-round,0,1000-3000,1 Day,Low,Family,Aizawl Airport
NE,MZ,Aizawl,Durtlang Hills,Nature,Year-round,0,500-1500,1 Day,Medium,All,Aizawl Airport
NE,MZ,Aizawl,Reiek Tlang,Nature/Trek,Oct-Mar,0,1000-3000,1 Day,High,Adventure Seekers,Lengpui Airport
NE,MZ,Aizawl,Solomon's Temple,Spiritual/History,Year-round,0,100-500,1 Hour,Low,Architecture Lovers,Lengpui Airport
NE,MZ,Saiha,Phawngpui Peak,Nature/Trek,Oct-Apr,0,3000-8000,2 Days,High,Adventure Lovers,Lengpui Airport
NE,MZ,Thenzawl,Vantawng Falls,Waterfall,Sep-Jan,0,500-1500,1 Day,Medium,Nature Lovers,Lengpui Airport
NE,NL,Kohima,War Cemetery,History,Year-round,0,1000-3000,1 Day,Low,All,Dimapur Airport
NE,NL,Kohima,Kisama Heritage Village,Culture,Dec (Hornbill),50,3000-7000,1 Day,Medium,All,Dimapur Airport
NE,NL,Kohima,Kohima War Cemetery,History,Oct-Mar,0,100-500,1-2 Hours,Low,History Lovers,Dimapur Airport
NE,NL,Kohima,Dzukou Valley,Nature/Trek,Jun-Sep,50,3000-7000,2 Days,High,Trekking Enthusiasts,Dimapur Airport
NE,NL,Kohima,Nagaland State Museum,History/Culture,Oct-Mar,20,100-500,2 Hours,Low,Culture Seekers,Dimapur Airport
NE,NL,Kohima,Khonoma Village,Nature/Culture,Oct-Mar,0,1000-3000,1 Day,Medium,Nature Lovers,Dimapur Airport
NE,NL,Mokokchung,Longkhum Village,Culture,Year-round,0,2000-5000,1 Day,Low,Solo,Dimapur Airport
NE,SK,Gangtok,MG Marg,Culture/Food,Oct-May,0,2000-5000,1 Day,Low,All,Pakyong Airport
NE,SK,Gangtok,Tsomgo Lake,Snow/Lake,Mar-May,0,5000-10000,1 Day,Medium,All,Pakyong Airport
NE,SK,Gangtok,Rumtek Monastery,Spiritual,Oct-May,0,1000-3000,1 Day,Low,Family,Pakyong Airport
